R;P;T;RMinus;PMinus;TMinus
4551,61058959961;536,222356033325;619,359233093262;-3;-1;-1
4073,27294616699;863,616317749023;708,737432861328;-1;-1;-1
4459,54064941406;564,482098388672;608,371939468384;-1;-3;-1
2002,49169311523;690,370899963379;625,461248779297;-1;-1;-1
1738,10509033203;461,22984161377;728,614047241211;-1;-3;-3
2934,38594970703;706,647103881836;679,126208782196;-3;-1;1
4129,67307434082;465,563498306274;664,158737182617;-5;-3;-3
2551,70258789063;761,747094726563;701,852735900879;-3;-1;-1
2288,7537109375;469,316886901855;761,191519165039;-3;-3;-3
1337,25329666138;622,785917663574;780,783892822266;-3;-1;-1
2043,12877960205;491,954905700684;665,059936523438;-3;-1;-3
2995,48494873047;534,766079711914;715,851641082764;-3;-1;1
2831,64640808105;631,77643737793;603,632691955566;-1;-1;-1
3090,38364257813;596,716839599609;760,978579711914;-3;-1;-1
3477,98759765625;467,047403907776;672,894351196289;-3;-3;-1
2687,74154052734;532,978874015808;706,841024017334;-1;-1;1
3491,65619506836;627,322862243652;529,895138168335;-1;-3;-3
2060,7486787796;469,201986312866;797,539184570313;-1;1;-3
2419,42740478516;601,257507324219;667,099996948242;-5;-1;1
2788,56190185547;408,129842376709;714,781785583496;-3;-1;-3
2699,79744262695;640,099771118164;648,96579284668;-3;-1;1
2006,35927124023;496,181993103027;663,511817932129;-5;-3;-1
1805,98552246094;499,112316894531;601,552868652344;-3;-1;1
717,240406799316;364,869958114624;724,363061523438;-1;-3;-1
2041,86385498047;535,32301940918;612,785113525391;3;1;1
2959,28612060547;542,865478515625;598,282113647461;1;-3;-1
1887,81539916992;597,295472717285;599,324223327637;1;1;1
2272,41745605469;448,417446899414;788,316754150391;-5;-3;-1
3659,57756347656;617,144689941406;616,693723297119;-5;1;1
2896,79764709473;540,969203186035;732,378024291992;-5;-3;-1
2815,021875;775,199301147461;709,236297607422;-3;1;1
3553,20974121094;544,002537536621;740,790991210937;-3;-1;-1
2637,09421386719;642,558258056641;560,557124328613;-3;1;1
2881,63958435059;467,061164855957;794,511627197266;-3;-3;-1
3209,03941650391;627,770822143555;528,026472473145;-3;1;-1
4142,87326049805;359,255169677734;641,453834533691;-1;-3;-1
4290,0845703125;590,122972106934;504,223648071289;-5;1;1
1879,09415893555;288,296364593506;666,625497436523;-3;-3;-1
1353,55110473633;464,619359588623;504,612155151367;3;1;-1
1094,10517578125;419,398666381836;531,009496879578;3;-1;1
2145,41970214844;438,665423583984;446,250217437744;-3;-1;-1
3134,90467529297;300,095986843109;499,869311523437;-5;-3;1
2170,35118408203;477,985962677002;529,267572021484;-5;-1;-1
1404,27265319824;412,441909790039;446,025967407227;-3;-1;1
1440,11884765625;483,370246124268;497,878198242188;-1;-1;-1
1369,47397460938;407,67470703125;561,855410957336;-1;-1;1
1041,39064941406;512,764642333984;550,598889160156;-3;1;-1
2302,2653717041;440,80062713623;588,22434387207;-1;-1;-1
2595,22678222656;592,994671630859;489,789428710938;-3;1;-1
2156,71323852539;369,284455871582;632,669557189941;-1;-1;-1
1073,20740127563;522,622442626953;583,51654510498;-5;1;-1
2004,41475830078;532,178265380859;611,202496337891;-5;-1;-1
3355,34207763672;555,433578491211;522,269680786133;-3;1;-1
2733,07885742188;450,780693054199;619,304165649414;-5;-1;-1
2299,4197265625;393,917630767822;566,926133728027;-5;-1;1
1411,75533447266;424,10306854248;545,196008300781;1;-1;-1
1252,27337036133;433,962261962891;483,309847259521;1;1;-1
2149,90280761719;437,293319702148;631,174639892578;-1;-1;-1
3194,93485107422;445,87442855835;550,87921295166;1;-1;-1
3188,02624511719;432,404643440247;534,514204025269;-1;-1;-1
2324,49725341797;467,429263687134;532,393701171875;-3;-1;1
1502,88283081055;499,946481323242;667,7580078125;-5;-3;-1
2125,48518066406;534,435467529297;499,411083030701;-3;-1;-1
1734,42180213928;538,230853271484;679,494567871094;-5;-3;-3
