X;Y;X;Y
;;3,76E+07;4,31E+07
;;3,83E+07;4,30E+07
;;3,91E+07;4,29E+07
;;3,99E+07;4,28E+07
;;4,06E+07;4,27E+07
;;4,14E+07;4,26E+07
;;4,21E+07;4,25E+07
;;4,29E+07;4,25E+07
;;4,37E+07;4,24E+07
;;4,44E+07;4,23E+07
;;4,52E+07;4,22E+07
;;4,59E+07;4,21E+07
;;4,66E+07;4,20E+07
;;4,74E+07;4,19E+07
;;4,81E+07;4,18E+07
;;4,89E+07;4,17E+07
;;4,96E+07;4,16E+07
;;5,03E+07;4,15E+07
;;5,10E+07;4,14E+07
;;5,18E+07;4,13E+07
;;5,25E+07;4,12E+07
;;5,32E+07;4,11E+07
;;5,39E+07;4,11E+07
;;5,47E+07;4,10E+07
;;5,54E+07;4,09E+07
;;5,61E+07;4,08E+07
;;5,68E+07;4,07E+07
;;5,75E+07;4,06E+07
;;5,82E+07;4,05E+07
;;5,89E+07;4,04E+07
;;5,96E+07;4,03E+07
;;6,03E+07;4,02E+07
;;6,10E+07;4,01E+07
;;6,17E+07;4,00E+07
;;6,24E+07;3,99E+07
;;6,31E+07;3,98E+07
;;6,38E+07;3,97E+07
;;6,45E+07;3,96E+07
;;6,51E+07;3,95E+07
;;6,58E+07;3,94E+07
;;6,65E+07;3,93E+07
;;6,72E+07;3,92E+07
;;6,79E+07;3,91E+07
;;6,85E+07;3,90E+07
;;6,92E+07;3,89E+07
;;6,99E+07;3,88E+07
;;7,05E+07;3,88E+07
;;7,12E+07;3,87E+07
;;7,19E+07;3,86E+07
;;7,25E+07;3,85E+07
;;7,32E+07;3,84E+07
;;7,39E+07;3,83E+07
;;7,45E+07;3,82E+07
;;7,52E+07;3,81E+07
;;7,58E+07;3,80E+07
;;7,65E+07;3,79E+07
;;7,71E+07;3,78E+07
;;7,78E+07;3,77E+07
;;7,84E+07;3,76E+07
;;7,91E+07;3,75E+07
;;7,97E+07;3,74E+07
;;8,04E+07;3,73E+07
;;8,10E+07;3,72E+07
;;8,17E+07;3,71E+07
;;8,23E+07;3,70E+07
;;8,29E+07;3,69E+07
;;8,42E+07;3,67E+07
;;8,55E+07;3,65E+07
;;8,67E+07;3,63E+07
;;8,80E+07;3,61E+07
;;8,92E+07;3,59E+07
;;9,04E+07;3,57E+07
;;9,17E+07;3,55E+07
;;9,29E+07;3,53E+07
;;9,41E+07;3,51E+07
;;9,53E+07;3,49E+07
;;9,65E+07;3,47E+07
;;9,77E+07;3,45E+07
;;9,89E+07;3,43E+07
;;1,00E+08;3,41E+07
;;1,01E+08;3,39E+07
;;1,02E+08;3,37E+07
;;1,04E+08;3,35E+07
;;1,05E+08;3,33E+07
;;1,06E+08;3,31E+07
;;1,07E+08;3,29E+07
;;1,08E+08;3,27E+07
;;1,09E+08;3,25E+07
;;1,10E+08;3,23E+07
;;1,12E+08;3,21E+07
;;1,13E+08;3,19E+07
;;1,14E+08;3,16E+07
;;1,15E+08;3,14E+07
;;1,16E+08;3,12E+07
;;1,17E+08;3,10E+07
;;1,18E+08;3,08E+07
